architecture,lambda,mean_accuracy,mean_f1
"[63, 32, 1]",0.0,0.83331,0.74931
"[63, 16, 1]",0.0,0.83265,0.74917
"[63, 16, 1]",0.1,0.83198,0.74774
"[63, 8, 1]",0.0,0.83165,0.74654
"[63, 16, 1]",1.0,0.83198,0.74574
"[63, 16, 8, 1]",0.0,0.761,0.43479
