architecture,lambda,mean_accuracy,mean_f1
"[46, 32, 1]",0.0,0.87256,0.87219
"[46, 16, 8, 1]",0.0,0.86948,0.86903
"[46, 16, 1]",1.0,0.86944,0.86895
"[46, 16, 1]",0.0,0.86795,0.8674
"[46, 8, 1]",0.0,0.86792,0.86738
"[46, 16, 1]",0.1,0.86638,0.86587
