architecture,lambda,mean_accuracy,mean_f1
"[7, 16, 1]",1.0,0.9252,0.92346
"[7, 32, 1]",0.0,0.92493,0.92323
"[7, 16, 1]",0.0,0.92493,0.92322
"[7, 16, 1]",0.1,0.92493,0.92322
"[7, 8, 1]",0.0,0.92362,0.92186
"[7, 16, 8, 1]",0.0,0.57218,0.36394
