architecture,lambda,mean_accuracy,mean_f1
"[22, 32, 1]",0.0,0.84225,0.75288
"[22, 16, 1]",0.0,0.82699,0.73563
"[22, 16, 1]",0.1,0.82699,0.73563
"[22, 16, 1]",1.0,0.8417,0.73516
"[22, 8, 1]",0.0,0.8267,0.7268
"[22, 16, 8, 1]",0.0,0.75424,0.42992
