architecture,lambda,mean_accuracy,mean_f1
"[10, 16, 3]",0.0,0.99697,0.99629
"[10, 32, 3]",0.0,0.99697,0.99629
"[10, 16, 3]",0.1,0.99697,0.99629
"[10, 8, 3]",0.0,0.99394,0.99257
"[10, 16, 3]",1.0,0.99394,0.99257
"[10, 16, 8, 3]",0.0,0.79594,0.60373
